,,,,,,,,,,
Timestamp,Which speech have you listened to/read?,How much time did you spend reading the speech/hearing the speech?(In Minutes),1. the speech was trying to convey feelings of Anger,2. the speech was trying to convey feelings of Anticipation,3. the speech was trying to convey feelings of Joy,4. the speech was trying to convey feelings of Trust,5. the speech was trying to convey feelings of Fear,6. the speech was trying to convey feelings of Surprise,7. the speech was trying to convey feelings of Sadness,8. the speech was trying to convey feelings of Disgust
10/18/2023 11:42:16,"Greta Thunberg's Climate Change Speeches :https://www.npr.org/2019/09/23/763452863/transcript-greta-thunbergs-speech-at-the-u-n-climate-action-summit#:~:text=%22The%20popular%20idea%20of%20cutting,may%20be%20acceptable%20to%20you Video: https://www.youtube.com/watch?v=KAJsdgTPJpU",2,10,1,0,0,9,1,10,9
10/18/2023 12:50:54,Aung San Suu Kyi's Nobel Lecture (2012):https://www.nobelprize.org/prizes/peace/1991/kyi/26193-aung-san-suu-kyi-nobel-lecture-english/ Video: https://www.youtube.com/watch?v=NihXxEDFIBM,6,1,5,9,6,3,9,3,1
,,,,,,,,,,
10/18/2023 17:38:45,"Winston Churchill's ""We Shall Fight on the Beaches"" Speech (1940):https://winstonchurchill.org/resources/speeches/1940-the-finest-hour/we-shall-fight-on-the-beaches/ Video:https://www.youtube.com/watch?v=skrdyoabmgA",10,6,8,4,8,3,5,0,0
10/18/2023 17:45:11,"Martin Luther King Jr.'s ""I Have a Dream"" Speech (1963):https://www.npr.org/2010/01/18/122701268/i-have-a-dream-speech-in-its-entirety Video: https://www.youtube.com/watch?v=vP4iY1TtS3s",5,8,9,5,10,2,0,7,3
10/18/2023 18:56:22,Aung San Suu Kyi's Nobel Lecture (2012):https://www.nobelprize.org/prizes/peace/1991/kyi/26193-aung-san-suu-kyi-nobel-lecture-english/ Video: https://www.youtube.com/watch?v=NihXxEDFIBM,4,3,7,9,7,2,3,5,0
10/18/2023 18:58:17,"Greta Thunberg's Climate Change Speeches :https://www.npr.org/2019/09/23/763452863/transcript-greta-thunbergs-speech-at-the-u-n-climate-action-summit#:~:text=%22The%20popular%20idea%20of%20cutting,may%20be%20acceptable%20to%20you Video: https://www.youtube.com/watch?v=KAJsdgTPJpU",5,10,8,0,0,9,0,9,9
10/18/2023 19:01:11,Barack Obama's Farewell Address (2017):https://www.politico.com/story/2017/01/full-text-obama-farewell-speech-transcript-233916,7,1,8,9,9,1,3,2,0
10/18/2023 19:21:28,John F. Kennedy's Inaugural Address (1961):https://www.archives.gov/milestone-documents/president-john-f-kennedys-inaugural-address Video: https://www.youtube.com/watch?v=PEC1C4p0k3E,12,1,10,9,9,3,2,2,1
,,,,,,,,,,
,,,,,,,,,,
10/20/2023 7:17:10,"Martin Luther King Jr.'s ""I Have a Dream"" Speech (1963):https://www.npr.org/2010/01/18/122701268/i-have-a-dream-speech-in-its-entirety Video: https://www.youtube.com/watch?v=vP4iY1TtS3s",7,1,9,5,9,1,1,6,1
10/20/2023 8:07:40,Malala Yousafzai's United Nations Speech (2013):https://awpc.cattcenter.iastate.edu/2018/03/05/un-speech-on-youth-education-july-12-2013/ Video:https://www.youtube.com/watch?v=5SClmL43dTo,15,1,5,8,9,1,2,8,4
10/20/2023 8:44:16,Barack Obama's Farewell Address (2017):https://www.politico.com/story/2017/01/full-text-obama-farewell-speech-transcript-233916,120,8,6,7,8,2,5,8,1
